group_key,normalized_main_function,functional_ingredient_set,composition_type,item_count,manufacturer_count,statement_no_count,dosage_form_count,base_parseable,base_partial,base_unparseable,base_missing,representative_candidate_id,representative_product_name,representative_manufacturer,representative_statement_no,grouping_confidence,hold_count,hold_reason
면역력증진·피로개선·혈소판응집억제를통한혈액흐름·기억력개선·항산화에도움을줄수있음|홍삼/인삼,면역력증진·피로개선·혈소판응집억제를통한혈액흐름·기억력개선·항산화에도움을줄수있음,홍삼/인삼,SINGLE,886,136,886,10,886,0,0,0,ac0413c3-548f-4022-9199-422a58ee4e95,Zingifi Korean Red Ginseng,(주)비티진,20040020030120,A,0,
유산균증식및유해균억제･배변활동원활･장건강에도움을줄수있음|프로바이오틱스,유산균증식및유해균억제･배변활동원활･장건강에도움을줄수있음,프로바이오틱스,SINGLE,882,94,882,9,882,0,0,0,52a929e6-1076-4cc0-a451-aefe80cb43a7,광희 프로바이오틱스 분말 ,(주)오투바이오,20130020008437,A,0,
면역력증진에도움을줄수있음|피로개선에도움을줄수있음|혈소판응집억제를통한혈액흐름에도움을줄수있음|기억력개선에도움을줄|홍삼/인삼,면역력증진에도움을줄수있음|피로개선에도움을줄수있음|혈소판응집억제를통한혈액흐름에도움을줄수있음|기억력개선에도움을줄수있음|항산화에도움을줄수있음,홍삼/인삼,MULTI_FUNCTION,620,81,620,11,620,0,0,0,586dd946-34d4-4bc0-91c6-16782bda822d,simplus 6년근 홍삼스틱,대동고려삼(주),20040020031372,B,0,
유산균증식및유해균억제에도움을줄수있음|배변활동원활에도움을줄수있음|프로바이오틱스,유산균증식및유해균억제에도움을줄수있음|배변활동원활에도움을줄수있음,프로바이오틱스,MULTI_FUNCTION,378,42,378,5,378,0,0,0,989fa658-9e1c-4054-bab2-8319e6398282,가제리유산균-500,(주)메디오젠 제천공장,20040020029484,B,0,
유산균증식및유해균억제·배변활동원활·장건강에도움을줄수있음|프로바이오틱스,유산균증식및유해균억제·배변활동원활·장건강에도움을줄수있음,프로바이오틱스,SINGLE,339,24,339,5,339,0,0,0,0daa679d-a8d5-4df2-81cd-aebcfba243e5,cetimil 세티밀 베이비,(주)메디오젠 충주공장,20180012174368,A,0,
면역력증진·피로개선·혈소판응집억제를통한혈액흐름·기억력개선·항산화·갱년기여성의건강에도움을줄수있음|홍삼/인삼,면역력증진·피로개선·혈소판응집억제를통한혈액흐름·기억력개선·항산화·갱년기여성의건강에도움을줄수있음,홍삼/인삼,SINGLE,292,89,292,8,292,0,0,0,67393794-9b50-4852-b74b-ed2817d0b5cd,광동 헬스가드 홍삼보감,(주)유니쎌팜,20040020028616,A,0,
관절및연골건강에도움을줄수있음|MSM,관절및연골건강에도움을줄수있음,MSM,SINGLE,264,81,264,5,264,0,0,0,12dd342f-c093-421a-84a5-b8e9852fe954,제피로스-피,한국바이오팜(주)에이치피,20040020046515,A,0,
[홍삼제품]|면역력증진에도움을줄수있음|피로개선에도움을줄수있음|혈소판응집억제를통한혈액흐름에도움을줄수있음|기억력|홍삼/인삼,[홍삼제품]|면역력증진에도움을줄수있음|피로개선에도움을줄수있음|혈소판응집억제를통한혈액흐름에도움을줄수있음|기억력개선에도움을줄수있음|항산화에도움을줄수있음,홍삼/인삼,MULTI_FUNCTION,252,71,252,10,252,0,0,0,520741db-5da9-442f-a6a2-e4c6c0a2b551,홍삼아이튼튼 프리미엄,(주)일화,20040015100144,B,0,
[비타민C]|결합조직형성과기능유지에필요|철의흡수에필요|항산화작용을하여유해산소로부터세포를보호하는데필요|비타민C,[비타민C]|결합조직형성과기능유지에필요|철의흡수에필요|항산화작용을하여유해산소로부터세포를보호하는데필요,비타민C,MULTI_FUNCTION,216,36,216,6,216,0,0,0,9c5345a2-8161-4376-befb-58b3aabd0189,광동비타민씨1000mg정,(주)에스엘에스,2004001706299,B,0,
[비타민D]|칼슘과인이흡수되고이용되는데필요|뼈의형성과유지에필요|골다공증발생위험감소에도움을줌|비타민D+칼슘,[비타민D]|칼슘과인이흡수되고이용되는데필요|뼈의형성과유지에필요|골다공증발생위험감소에도움을줌,비타민D+칼슘,MULTI_INGREDIENT,207,33,207,8,207,0,0,0,7ff16dde-b1f9-4ef9-a2c6-f2c85570781c,아크 어써라이즈 비타민 D3 2630IU,(주)알피바이오,200400170061126,B,0,
