id,feature_unit,area,classification,priority,runtime_consumer,frontend_consumer,prod_evidence,replacement,blocked_by,proposed_wo
F01,KCos /store-assets mount → KPA org resolver + kpa_store_asset_controls read/write,apps/api-server routes/cosmetics + web-k-cosmetics StoreChannelsPage,LEGACY_ACTIVE,P0,yes (menu /store/channels),yes,"controls 7 rows all KPA orgs; KCos org 0",KCos: drop asset-control axis or KCos wrapper,menu config change (store-ui-core),WO-B
F02,Neture /api/v1/neture/assets → KPA asset-snapshot controller (kpa:* roles),apps/api-server routes/neture,DEAD_ROUTE,P0,mount only,0,"neture frontend has no /assets caller",remove mount,none,WO-C
F03,KPA-hardcoded shared controllers (store-content/store-library-feed/store-asset-control/published-assets/asset-snapshot),apps/api-server routes/o4o-store,CANONICAL_NEEDS_ALIGNMENT,P1,KPA mounts,yes (KPA),—,service-scoped wrappers (PH/KCos pattern),none (KPA-only mounts safe),WO-B
F04,kpa_store_asset_controls extension layer,DB + routes/kpa,LEGACY_ACTIVE (KPA_SPECIFIC),P2,KPA operator/admin/render,yes (KPA),"7 rows / 3 KPA orgs / forced 0",none needed,business demand outside KPA = 0,—
F05,POP legacy instant-PDF axis (generate endpoint / StorePopCreateModal / storePop api),api-server + web-kpa-society + web-k-cosmetics,RETIRED (already removed),—,0,0,"store_pops 0 rows; pop_documents(V2) 16",POP V2,—,— (chain ④ landed)
F06,ProductPopBuilderPage compatibility redirects (KPA/KCos),services App.tsx,LEGACY_COMPATIBILITY,P3,redirect only,deep-link,—,/store/marketing/pop-v2,none,WO-A
F07,Redirect-only routes (kpa-society 40 / neture 41 / k-cosmetics 17 / ph 2),services App.tsx,LEGACY_COMPATIBILITY,P3,redirect only,deep-link,—,canonical routes,none (needs 60-day link audit),WO-A
F08,Consumer checkout residue (/api/checkout refund+orders, /api/orders alias, /api/admin/orders),apps/api-server routes,RETIRE_READY,P2,0 frontend (admin UI removed REMOVE_BROKEN_UI),0,"checkout_orders 23 (B2B canonical ledger — keep table)",B2B: store_cart_items→checkout_orders,commerce-boundary confirmation,WO-G
F09,partner-core package + /api/partner + /api/v1/partner + partner_* tables,packages/partner-core + routes,DEAD_PACKAGE / DEAD_ROUTE,P2,mount only,0,"partner_referrals/settlements/commissions 0 rows; entities registered w/o tables",none,NEEDS_BUSINESS_DECISION (Neture partner contract F7 is separate table set),WO-G
F10,WordPress-style CMS/theme/taxonomy entity layer (categories/tags/terms/taxonomies/themes/widget_areas/template_parts/presets/cms_pages/cms_views/custom_posts/reusable_blocks/smtp_settings/user_activity_logs/approval_logs/role_applications),apps/api-server entities + cms-core,DEAD_SCHEMA_RESIDUE (entity-side),P2,registered in entities.ts,admin UI removed (45ac4d052),"~35 registered entities with NO production table",content-core/cms-core canonical,consumer trace per entity (grep noisy),WO-H
F11,cms-core unregistered entities (acf/menus/media/templates/settings),packages/cms-core,DEAD_CODE,P2,0 (not registered),0,no tables,—,none,WO-H
F12,cosmetics legacy entities (cosmetics_products/brands/lines/store*/price*) unregistered,apps/api-server routes/cosmetics/entities,DEAD_CODE,P2,0 (not registered),0,no tables,ProductMaster canonical,none,WO-H
F13,neture legacy entities (neture-product/-order-item/-partner/-product-log) unregistered,apps/api-server routes/neture/entities,DEAD_CODE,P2,0,0,no tables,Neture domain V3,none,WO-H
F14,role_applications route (/api/v2/roles) + /api/v1/userRole,apps/api-server,DEAD_ROUTE,P2,mount only,0,"role_applications table absent → 500 on call",role_assignments SSOT (F9 freeze),none,WO-G
F15,forum-core tracked tsc output in src/ (32 files incl. orphan ForumTag.js),packages/forum-core,DEAD_GENERATED_ARTIFACT,P3,0 (exports point to dist/),0,—,dist/,none,WO-D
F16,auth-client tracked tsc output in src/ (28 files),packages/auth-client,DEAD_GENERATED_ARTIFACT,P3,0,0,—,dist/,none,WO-D
F17,admin-dashboard public/mockServiceWorker.js (msw not imported),apps/admin-dashboard,DEAD_GENERATED_ARTIFACT,P3,0,0,—,—,none,WO-D
F18,tmp/** apply+rollback batches (6 batches: guide-gap-enrichment / mfds-usage-caution / store-to-b2b-copy / productmaster-apply-pilot / name-cleanup / product-landing-coverage),tmp,OPERATIONAL_RECOVERY_KEEP,P3,—,—,"rollback.sql.gz + apply-log + baseline-before present",relocate to docs/ops or keep,none,WO-E
F19,tmp/** census/pilot data (.json.gz ≈ 30MB: cosmetics-retail-census / cosmetics-pilot / guide-production),tmp,UNKNOWN_STOP,P3,—,—,inputs of applied production batches; regenerable?,—,user decision on audit retention,WO-E
F20,tmp/** pipeline .mjs scripts (35),tmp,ACTIVE_FIXTURE_RELOCATE,P3,manual CLI,—,—,apps/api-server/src/scripts,none,WO-E
F21,tmp/*_install.sql (4) + delete_list_*.json (4),tmp,MIGRATION_HISTORY_KEEP,P3,—,—,forum_yaksa_install referenced by 4 docs,—,none,WO-E
F22,Production backup tables (_bak_orphan_representative_products_20260706 16571 rows / offer_curations_backup_20260409 0 rows),DB,DROP_CANDIDATE,P3,0 (no entity, no SQL ref),0,"16571 / 0 rows",—,retention decision,WO-F
F23,yaksa_* legacy tables (9) — 0 rows except yaksa_categories 5,DB,DROP_CANDIDATE,P3,0 entity; yaksa_members 1 raw ref,0,"0 rows ×8",kpa_members / organization-core,confirm raw ref yaksa_members,WO-F
F24,apps / app_instances tables (app_registry canonical),DB,DROP_CANDIDATE,P3,0,0,"apps 1 / app_instances 0 / app_registry 2",app_registry,memory: app 3계보 IR,WO-F
